,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0, ,,,Crystal Palace - Home,Burnley - Away,West Bromwich Albion - Away,Manchester United - Away,Southampton - Home,Newcastle United - Home,Leeds United - Away,Aston Villa - Home,Arsenal - Away,Wolverhampton Wanderers - Away,Fulham - Home,Chelsea - Home,Sheffield United - Away,Everton - Home,Leicester City - Away,Manchester City - Home,Brighton & Hove Albion - Home,West Ham United - Away,Tottenham Hotspur - Away,Burnley - Home,Manchester United - Home,Southampton - Away,Newcastle United - Away,West Bromwich Albion - Home,Crystal Palace - Away,Tottenham Hotspur - Home,Fulham - Away,Wolverhampton Wanderers - Home,Brighton & Hove Albion - Away,Leicester City - Home,Manchester City - Away,West Ham United - Home,Sheffield United - Home,Everton - Away,Aston Villa - Away,Arsenal - Home,Chelsea - Away,Leeds United - Home
1,,P90,AVG,2-0,0-3,1-2,2-4,2-0,1-1,1-1,2-1,0-3,0-1,0-1,0-1,0-2,0-2,3-1,1-4,0-1,1-3,1-3,0-1,0-0,1-0,0-0,1-1,0-7,2-1,1-1,4-0,1-1,3-0,1-1,2-1,2-1,2-2,7-2,3-1,0-2,4-3
2,Possession,,62%,70%,59%,76%,47%,54%,68%,40%,66%,65%,46%,60%,54%,60%,71%,64%,56%,63%,67%,58%,72%,65%,67%,70%,78%,65%,75%,76%,60%,60%,56%,46%,72%,62%,59%,70%,66%,62%,48%
3,Team Total,,11,10,7,14,9,10,9,15,16,10,10,10,9,9,10,6,13,12,8,11,11,15,12,13,8,11,8,5,8,13,15,11,13,7,9,10,11,6,9
4,Thiago,2.33,2.00,4 90',1 90',1 90',2 90',1 90',77',4 90',20',2 90',3 67',,1 80',2 76',1 87',1 73',2 68',3 90',3 90',3 78',3 90',3 90',4 90',17',,,,,,,,,,,1 90',,,3 44',
5,Harry Wilson,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sadio Mané,1.70,1.51,90',2 90',4 90',1 16',2 90',2 90',3 71',1 15',90',90',28',3 90',90',2 90',1 90',1 90',,,3 90',90',1 90',1 90',2 90',90',1 57',3 90',1 90',90',1 26',4 89',2 90',3 90',3 90',2 90',,3 80',90',1 90'
7,Marko Grujić,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Diogo Jota ,2.08,1.33,1',,,,1 79',3 58',1 81',5 90',1 29',1 82',1 90',28',,,,,,,,,,,,,,,,1 17',2 90',1 89',3 90',1 20',83',12',3 90',10',,
9,Naby Keïta,2.23,1.30,,,,,,,,,,23',3 90',,10',,,,,,,,,,,,4 90',,,9',,2 54',,,,,1 46',2 79',64',1 59'
10,Ozan Kabak,1.21,1.20,,,,90',,2 90',1 90',2 89',1 84',90',,1 90',2 90',2 90',1 90',,,,,,,,,,,,,,,,,,,,,,,
11,Nathaniel Phillips,1.24,1.18,1 90',1 90',90',1 90',1 90',,,90',1 90',1 90',90',,2 90',1 60',,,1 90',1 90',1 44',,,,3 90',,,,,,2 90',,,3 90',,,,,,
12,Joel Matip,1.43,1.10,,,,,,,,,,,,,,,,,,,1 46',4 90',,,,60',2 90',,46',1 90',,1 90',1 90',,,90',,,,1 1'
13,Harvey Elliot,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Fabinho,1.02,0.97,1 90',90',4 90',90',2 90',1 90',90',1 90',3 90',2 90',14',1 90',,,,2 90',,,,1 90',2 90',90',1 90',90',1 90',1 90',1 90',1 90',1 90',90',,,1 90',90',90',90',1 90',1 31'
15,Joe Gomez,0.92,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 90',1 90',1 90',79',1 61',90',,1 90'
16,Virgil van Dijk ,0.97,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 11',1 90',1 90',90',90'
17,Xherdan Shaqiri,1.79,0.79,,,31',,,,,1',,,1 90',,,27',3',22',2 64',2 69',,1 84',2 76',2 34',1',,,,,,,,1 31',20',,,,,,
18,Curtis Jones,1.38,0.75,,,1 59',16',1',13',,,,,,62',1 80',63',1 75',68',11',33',12',,14',,3 68',2 83',1 21',1 90',1 90',2 90',16',2 90',,2 70',,,29',,,1 24'
19,James Milner ,1.48,0.70,1 12',4',,90',,1 32',2 90',3 90',90',23',3 76',1 10',14',,17',22',1 90',1 57',1 90',,1',13',1 73',,,,,,1 74',1 90',27',1',7',,2 22',11',26',
20,Roberto Firmino,0.69,0.61,90',81',1 90',90',11',90',1 90',1 75',78',,,2 90',1 90',90',90',2 90',79',21',1 87',33',1 85',90',90',1 90',75',90',1 90',2 73',1 90',90',1 59',1 70',83',1 78',2 68',90',1 86',1 90'
21,Andrew Robertson,0.61,0.61,90',1 90',90',2 90',90',90',1 90',1 90',61',90',90',90',90',2 90',1 90',2 85',1 90',90',90',90',90',2 90',90',1 90',90',1 90',90',90',2 90',2 90',90',90',90',2 90',90',2 90',90',90'
22,Neco Williams,1.09,0.60,,,,,,,,,,,1 76',,,,,,,,,,,,,,,,22',1 68',1 46',36',,,,,,,,
23,Mohamed Salah,0.64,0.59,90',1 90',90',2 90',2 87',90',19',90',2 90',2 90',1 90',62',90',90',90',90',1 90',90',90',33',2 90',1 90',2 90',1 90',33',1 90',84',90',64',,90',1 90',1 90',90',90',1 90',90',1 90'
24,Trent Alexander-Arnold,0.62,0.58,2 90',90',2 90',1 90',1 90',90',90',1 90',90',90',14',90',1 90',2 90',1 90',3 90',90',90',1 90',90',1 90',1 77',90',1 90',90',90',68',22',,,63',90',90',1 90',90',1 90',90',1 89'
25,Konstantinos Tsimikas,15.00,0.50,,1',,,,,,,,,,,,,,1 5',,,,,,,,,,,,,,,,,,,,,,
26,Takumi Minamino,1.25,0.44,,,,,,,,,,,,,,,,,,,,6',,,,,1 90',,44',,2 90',1 1',,,7',,44',1',4',
