,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0, ,,,Crystal Palace - Home,Burnley - Away,West Bromwich Albion - Away,Manchester United - Away,Southampton - Home,Newcastle United - Home,Leeds United - Away,Aston Villa - Home,Arsenal - Away,Wolverhampton Wanderers - Away,Fulham - Home,Chelsea - Home,Sheffield United - Away,Everton - Home,Leicester City - Away,Manchester City - Home,Brighton & Hove Albion - Home,West Ham United - Away,Tottenham Hotspur - Away,Burnley - Home,Manchester United - Home,Southampton - Away,Newcastle United - Away,West Bromwich Albion - Home,Crystal Palace - Away,Tottenham Hotspur - Home,Fulham - Away,Wolverhampton Wanderers - Home,Brighton & Hove Albion - Away,Leicester City - Home,Manchester City - Away,West Ham United - Home,Sheffield United - Home,Everton - Away,Aston Villa - Away,Arsenal - Home,Chelsea - Away,Leeds United - Home
1,,P90,AVG,2-0,0-3,1-2,2-4,2-0,1-1,1-1,2-1,0-3,0-1,0-1,0-1,0-2,0-2,3-1,1-4,0-1,1-3,1-3,0-1,0-0,1-0,0-0,1-1,0-7,2-1,1-1,4-0,1-1,3-0,1-1,2-1,2-1,2-2,7-2,3-1,0-2,4-3
2,Possession,,62%,70%,59%,76%,47%,54%,68%,40%,66%,65%,46%,60%,54%,60%,71%,64%,56%,63%,67%,58%,72%,65%,67%,70%,78%,65%,75%,76%,60%,60%,56%,46%,72%,62%,59%,70%,66%,62%,48%
3,Team Total,,6,5,3,6,5,6,9,7,10,7,4,3,1,8,6,4,3,1,5,7,6,3,1,4,2,8,11,6,6,2,13,3,5,5,8,8,8,6,6
4,Harvey Elliot,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Marko Grujić,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mohamed Salah,1.52,1.41,2 90',90',3 90',1 90',2 87',2 90',19',2 90',2 90',1 90',1 90',62',1 90',1 90',2 90',1 90',90',4 90',90',1 33',90',90',1 90',90',2 33',4 90',2 84',2 90',64',,1 90',2 90',1 90',4 90',2 90',1 90',1 90',3 90'
7,Diogo Jota ,1.99,1.28,1',,,,2 79',2 58',2 81',1 90',2 29',2 82',1 90',28',,,,,,,,,,,,,,,,17',1 90',3 89',1 90',1 20',1 83',12',3 90',1 10',,
8,Sadio Mané,1.15,1.03,2 90',90',90',16',1 90',1 90',1 71',1 15',2 90',1 90',28',90',90',1 90',90',1 90',,,4 90',90',90',1 90',90',1 90',2 57',2 90',90',1 90',26',4 89',90',1 90',1 90',2 90',,3 80',3 90',90'
9,Roberto Firmino,1.07,0.94,1 90',1 81',90',2 90',11',3 90',2 90',75',78',,,90',1 90',1 90',2 90',1 90',79',21',2 87',33',1 85',90',2 90',1 90',2 75',4 90',1 90',73',90',3 90',59',70',1 83',78',2 68',90',1 86',90'
10,Virgil van Dijk ,0.49,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11',90',1 90',90',1 90'
11,Curtis Jones,0.69,0.38,,,59',16',1',13',,,,,,62',3 80',63',75',68',11',33',12',,14',,68',83',21',1 90',2 90',1 90',16',1 90',,1 70',,,29',,,24'
12,Trent Alexander-Arnold,0.36,0.33,90',90',90',2 90',90',90',90',2 90',90',90',14',90',1 90',1 90',90',90',90',90',1 90',1 90',1 90',77',90',90',90',90',68',22',,,1 63',90',1 90',1 90',90',90',90',89'
13,Takumi Minamino,0.94,0.33,,,,,,,,,,,,,,,,,,,,6',,,,,1 90',,44',,1 90',1 1',,,7',,44',1',4',
14,Alex Oxlade-Chamberlain,1.48,0.31,1',1 9',,,3',,1 9',,,8',,28',,,15',,1 26',10',,1 57',,56',,7',15',,,,,,,,,,,,,
15,Georginio Wijnaldum ,0.28,0.24,78',86',6',,90',90',90',70',1 12',67',62',1 90',1 90',1 90',87',90',64',1 90',90',90',89',90',22',90',69',90',90',1 90',90',90',90',90',90',1',90',1 90',1 90',1 90'
16,Divock Origi ,0.99,0.22,,,,,,,,,,,,,,3',,,26',80',3',2 57',5',,,1',,,6',,,1',,,,,,,,
17,Thiago,0.24,0.21,90',90',1 90',90',1 90',77',1 90',1 20',90',67',,80',76',87',73',68',90',90',78',90',1 90',90',17',,,,,,,,,,,90',,,44',
18,Naby Keïta,0.34,0.20,,,,,,,,,,23',1 90',,10',,,,,,,,,,,,90',,,9',,1 54',,,,,46',79',64',59'
19,Joel Matip,0.26,0.20,,,,,,,,,,,,,,,,,,,46',90',,,,60',90',,46',1 90',,90',90',,,1 90',,,,1'
20,Jordan Henderson,0.21,0.19,,,,,,,,,,,,,,1 30',90',90',90',90',90',,90',90',90',90',1 90',90',1 90',81',44',,90',90',90',90',,,46',1 66'
21,Andrew Robertson,0.13,0.13,90',90',90',90',90',90',90',1 90',61',90',90',90',1 90',90',90',85',90',90',90',1 90',90',90',90',90',90',90',90',90',90',90',90',90',90',90',1 90',1 90',90',90'
22,Nathaniel Phillips,0.12,0.12,90',1 90',90',90',90',,,1 90',90',90',90',,90',60',,,90',90',44',,,,90',,,,,,90',,,90',,,,,,
23,James Milner ,0.23,0.11,12',4',,90',,1 32',90',1 90',90',23',76',10',14',,17',22',90',57',90',,1',13',1 73',,,,,,74',90',27',1',7',,22',11',26',
24,Fabinho,0.04,0.03,90',90',1 90',90',90',90',90',90',90',90',14',90',,,,90',,,,90',90',90',90',90',90',90',90',90',90',90',,,90',90',90',90',90',31'
25,Alisson,0.03,0.03,90',90',1 90',90',90',90',90',90',90',90',90',90',,90',90',90',,90',90',90',90',90',90',90',90',90',90',,90',90',90',90',90',,,90',90',90'
26,Rhys Williams,0.00,0.00,90',90',84',,90',,,,6',,90',,,,,,,,,,,,,30',,90',,,,,,,,,,,,
27,Konstantinos Tsimikas,0.00,0.00,,1',,,,,,,,,,,,,,5',,,,,,,,,,,,,,,,,,,,,,
28,Neco Williams,0.00,0.00,,,,,,,,,,,76',,,,,,,,,,,,,,,,22',68',46',36',,,,,,,,
