,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Everton - Away,Manchester United - Home,Crystal Palace - Away,Chelsea - Home,Leeds United - Home,Southampton - Away,West Ham United - Home,Tottenham Hotspur - Away,Leicester City - Away,Brighton & Hove Albion - Home,Fulham - Home,Aston Villa - Away,Liverpool - Home,Arsenal - Away,Manchester City - Home,Wolverhampton Wanderers - Away,Newcastle United - Home,Brighton & Hove Albion - Away,Nottingham Forest - Home,Brentford - Away,Manchester United - Away,Crystal Palace - Home,Chelsea - Away,Everton - Home,Leeds United - Away,Tottenham Hotspur - Home,West Ham United - Away,Southampton - Home,Fulham - Away,Leicester City - Home,Brentford - Home,Newcastle United - Away,Nottingham Forest - Away,Wolverhampton Wanderers - Home,Liverpool - Away,Arsenal - Home,Manchester City - Away,Aston Villa - Home
1,,AVG,1-0,0-1,2-0,1-3,4-1,0-1,0-4,2-3,0-1,0-2,2-1,3-0,1-0,3-2,1-4,0-1,1-1,1-0,1-1,2-0,3-0,0-2,2-0,3-0,4-3,2-3,2-0,0-1,2-2,2-1,0-0,1-1,2-3,0-0,9-0,0-3,4-0,2-0
2,Possession,51%,62%,41%,40%,34%,44%,44%,64%,43%,49%,36%,43%,44%,31%,19%,34%,32%,33%,29%,43%,51%,41%,59%,40%,39%,51%,35.5%,46%,53.4%,30.6%,44.1%,41.4%,27.1%,47.6%,34%,29.4%,41.4%,32.8%,42.7%
3,Passes,366_547,533_305,453_655,413_604,305_600,371_500,389_501,643_358,379_485,417_423,344_626,367_496,350_447,278_637,184_740,377_750,291_616,272_561,259_648,360_471,424_419,405_579,455_317,357_563,305_542,290_443,292_631,432_497,529_464,268_585,424_551,375_530,245_643,442_486,320_603,303_681,411_580,353_696,301_571
4,Tackles,15_17,12_18,12_26,20_22,17_12,24_19,21_19,11_17,17_17,8_19,18_17,17_19,20_16,11_22,16_17,15_26,9_18,21_15,7_6,10_18,17_20,16_9,16_31,17_17,7_17,5_6,17_15,20_20,16_26,16_12,12_31,12_11,17_16,12_12,24_26,20_13,22_14,10_8,5_4
5,Corners,4_7,3_9,3_6,2_11,7_7,2_6,4_6,8_5,1_8,6_6,5_5,4_3,6_9,3_8,1_17,4_6,2_12,4_6,3_7,4_6,3_5,5_6,2_7,8_6,3_5,3_13,2_19,0_5,7_3,6_5,7_2,7_8,1_8,6_4,2_5,1_8,3_4,1_11,5_5
6,1st Half Corners,2_4,2_5,1_0,1_7,2_2,1_0,2_4,3_3,1_3,0_1,2_2,0_3,2_2,2_6,0_9,3_2,2_8,2_4,1_4,2_3,1_4,3_1,1_3,3_3,2_2,3_5,2_7,0_4,2_0,2_4,2_1,2_6,0_4,2_3,0_2,0_3,0_4,1_7,2_4
7,2nd Half Corners,2_3,1_4,2_6,1_4,5_5,1_5,2_2,5_2,0_5,3_0,3_3,4_0,4_7,1_2,1_8,1_4,0_4,2_2,2_3,2_3,2_1,2_5,1_4,5_3,1_3,0_8,0_12,0_1,5_3,4_1,5_1,5_2,1_4,4_1,2_3,1_5,3_0,0_4,3_1
8,Shots - Total,9_15,7_13,10_20,5_17,12_11,12_15,16_11,17_18,9_24,19_14,14_16,12_10,10_20,5_15,4_31,13_20,5_15,11_15,12_20,13_18,7_12,7_18,5_14,9_15,10_8,2_1,5_27,5_19,16_8,5_10,9_9,0_5,10_20,8_11,4_14,5_19,2_9,3_19,7_15
9,Shots - On target,4_5,2_6,4_5,0_5,4_5,7_6,2_2,5_10,6_8,7_4,3_6,7_2,3_9,2_6,4_9,2_5,1_4,5_7,2_6,4_5,2_4,4_6,2_6,4_5,9_3,6_4,4_7,3_4,3_3,6_4,4_5,1_4,3_7,3_3,2_4,2_12,1_6,1_7,3_2
