,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Chelsea - Home,Tottenham Hotspur - Away,Crystal Palace - Away,Everton - Home,Manchester United - Home,Everton - Away,West Bromwich Albion - Home,Manchester City - Home,Liverpool - Away,Fulham - Home,Tottenham Hotspur - Home,Newcastle United - Away,Wolverhampton Wanderers - Home,Sheffield United - Away,Leeds United - Away,Leicester City - Home,Brighton & Hove Albion - Away,Arsenal - Home,West Ham United - Home,Southampton - Away,Burnley - Away,Newcastle United - Home,Manchester City - Away,Manchester United - Away,Chelsea - Away,Crystal Palace - Home,West Bromwich Albion - Away,Burnley - Home,Wolverhampton Wanderers - Away,West Ham United - Away,Brighton & Hove Albion - Home,Arsenal - Away,Southampton - Home,Leeds United - Home,Leicester City - Away,Liverpool - Home,Fulham - Away,Sheffield United - Home
1,,AVG,2-1,1-2,3-2,0-0,1-3,1-2,2-2,1-2,2-1,3-1,0-2,1-1,0-0,1-0,0-1,1-2,0-0,1-0,1-3,0-1,3-2,2-0,2-0,2-1,1-1,3-0,0-3,0-0,0-1,2-1,1-2,0-3,3-4,0-3,0-1,7-2,0-3,1-0
2,Possession,48%,29%,39%,55%,58%,40%,52%,69%,28%,34%,52%,50%,51%,49%,72%,31%,49%,42%,34%,56%,40%,60%,59%,31%,54%,37%,38%,68%,59%,50%,66%,55%,42%,56%,40%,50%,30%,35%,71%
3,Passes,400_439,250_598,367_569,393_325,502_362,383_563,469_421,551_240,304_806,296_577,418_384,416_421,411_392,410_424,641_263,227_517,430_450,372_509,316_597,480_376,336_487,475_290,567_369,285_628,417_407,314_550,298_475,576_282,388_273,331_348,518_272,457_385,378_538,367_304,305_445,397_417,285_650,302_538,553_221
4,Tackles,14_15,14_18,18_20,13_15,7_9,14_10,15_19,15_9,10_4,18_14,15_23,22_17,17_20,23_12,9_13,16_18,16_17,10_11,18_12,12_16,23_24,6_19,10_14,14_14,18_11,19_17,17_12,11_15,6_19,8_15,6_9,7_18,14_7,15_21,14_14,14_21,15_14,23_9,5_9
5,Corners,6_5,2_9,5_4,7_7,9_1,5_6,6_3,11_4,1_11,0_7,4_4,5_8,2_2,5_3,7_2,5_7,7_8,2_9,3_7,7_3,1_7,4_2,4_4,2_16,6_3,4_11,4_4,7_1,10_1,8_5,7_3,12_3,8_3,11_1,6_5,7_2,2_7,3_5,10_4
6,1st Half Corners,2_1,0_0,1_0,4_1,5_0,1_0,2_0,0_0,0_2,0_0,1_0,1_0,0_1,0_0,1_0,0_3,0_0,1_3,1_1,0_0,0_1,0_0,0_0,2_10,0_0,3_4,3_2,1_1,6_0,5_5,2_2,7_0,3_1,4_1,2_3,1_1,1_6,1_1,8_2
7,2nd Half Corners,2_1,0_1,0_1,3_6,4_1,0_0,1_0,1_0,0_1,0_0,0_0,0_0,0_0,0_1,1_0,1_2,0_0,0_2,0_1,2_1,0_0,0_0,0_1,0_6,3_1,1_7,1_2,6_0,4_1,3_0,5_1,5_3,5_2,7_0,4_2,6_1,1_1,2_4,2_2
8,Shots - Total,14_14,6_24,20_10,19_23,13_15,11_18,13_16,25_11,8_13,9_23,14_15,8_9,15_12,9_10,16_9,9_13,11_16,4_26,12_14,9_20,8_20,18_11,17_7,11_28,15_19,10_16,21_13,19_1,27_6,13_16,16_6,15_7,15_13,19_9,12_27,10_11,18_14,12_16,18_4
9,Shots - On target,5_5,3_7,4_4,5_8,2_5,5_7,5_3,11_5,3_3,5_10,4_7,1_3,6_3,1_2,4_2,4_3,2_7,1_9,8_3,2_10,4_5,11_6,7_1,4_9,5_9,2_5,10_6,10_1,7_4,2_7,6_2,4_3,6_2,10_4,4_9,4_5,11_8,5_3,2_1
