,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Arsenal - Away,Manchester City - Home,West Ham United - Home,Wolverhampton Wanderers - Away,Leeds United - Home,Sheffield United - Away,Chelsea - Away,Everton - Home,Manchester United - Away,Newcastle United - Home,Southampton - Away,Leicester City - Home,West Bromwich Albion - Away,Crystal Palace - Home,Aston Villa - Home,Burnley - Away,Liverpool - Away,Tottenham Hotspur - Home,Fulham - Home,Leeds United - Away,Manchester City - Away,Wolverhampton Wanderers - Home,Arsenal - Home,West Ham United - Away,Sheffield United - Home,Fulham - Away,Leicester City - Away,Southampton - Home,Liverpool - Home,Aston Villa - Away,Burnley - Home,Tottenham Hotspur - Away,West Bromwich Albion - Home,Crystal Palace - Away,Everton - Away,Manchester United - Home,Newcastle United - Away,Chelsea - Home
1,,AVG,2-0,3-2,1-1,2-1,2-0,1-0,0-0,0-0,2-1,3-0,1-2,1-2,1-0,1-2,0-0,1-1,0-1,1-0,0-0,0-1,1-0,3-3,0-1,2-2,1-1,0-0,3-0,1-2,1-1,1-2,0-0,2-1,1-1,1-1,4-2,2-3,0-3,1-3
2,Possession,53%,46%,63%,51%,39%,43%,67%,36%,55%,41%,66%,43%,37%,70%,74%,58%,46%,37%,46%,50%,37%%,35%,49%,49%,57%,73%,54%,46%,48%,40%,45%,58%,57%,49%,66%,57%,53%,53%,52%
3,Passes,478_463,489_565,607_361,595_552,373_569,351_466,640_295,410_740,503_400,436_604,728_382,330_492,340_616,553_230,715_250,509_372,379_444,404_697,407_556,411_439,305_601,384_726,548_461,491_511,574_423,545_203,481_426,427_516,377_420,352_526,385_457,529_376,503_387,473_476,544_280,618_474,488_445,444_386,507_465
4,Tackles,16_13,15_12,18_15,9_6,15_14,11_17,11_24,25_8,17_7,22_13,16_10,4_4,30_22,21_13,12_22,11_10,6_8,13_12,8_5,22_11,12_13,21_16,21_13,17_10,11_14,12_12,16_16,25_12,21_15,22_13,18_7,11_14,13_16,20_22,15_19,20_20,12_15,8_10,17_16
5,Corners,6_4,3_11,5_3,3_3,5_10,2_9,12_2,3_0,10_3,6_5,3_1,5_4,6_6,4_7,13_0,9_2,7_8,3_5,9_2,10_0,2_5,4_8,5_7,5_4,4_5,14_2,8_1,5_9,4_3,4_3,3_12,5_3,5_4,6_2,5_2,10_3,7_1,1_7,4_3
6,1st Half Corners,1_1,0_1,1_0,2_2,0_0,0_0,1_0,1_0,2_0,1_0,0_0,0_0,1_1,1_0,1_0,3_1,1_1,0_1,0_0,1_0,1_1,1_7,0_0,2_2,3_4,6_1,1_1,1_4,3_2,1_2,0_7,2_1,4_2,3_0,1_1,0_2,3_0,0_3,3_1
7,2nd Half Corners,2_1,0_2,0_0,1_1,0_0,0_0,2_0,2_0,1_0,0_2,1_0,0_1,0_1,0_1,1_0,2_0,0_0,2_1,4_2,0_0,2_3,3_1,0_0,3_2,1_1,8_1,7_0,4_5,1_1,3_1,3_5,3_2,1_2,3_2,4_1,10_1,4_1,1_4,1_2
8,Shots - Total,13_10,5_17,19_8,10_15,6_16,17_11,18_7,11_7,23_8,5_15,11_3,8_9,8_8,15_6,25_3,26_4,10_20,13_11,16_8,17_10,7_9,5_16,13_11,13_11,13_11,21_5,9_9,12_15,12_10,11_6,7_15,19_4,6_9,5_9,20_1,11_11,18_7,13_6,13_10
9,Shots - On target,4_3,1_6,6_4,2_3,3_6,5_2,5_3,2_4,3_1,3_8,6_1,6_4,2_4,6_2,5_2,9_1,2_7,4_1,5_4,5_3,2_2,1_6,4_4,2_3,4_4,5_3,4_4,4_6,4_3,3_2,3_4,3_1,2_3,3_3,3_1,3_6,5_3,6_0,3_5
10,Shots - Off target,7_4,4_11,4_2,2_8,3_10,8_5,13_4,4_2,20_7,2_7,5_2,2_5,6_4,7_3,20_1,17_3,6_7,9_10,9_1,12_8,5_7,3_4,3_4,5_6,4_2,8_2,4_3,4_5,8_4,6_1,3_6,7_3,2_6,1_5,9_0,3_2,9_1,6_4,6_2
11,Shots - Blocked,4_3,1_5,9_2,6_4,1_7,5_4,5_3,5_1,10_1,2_2,4_0,2_5,3_0,4_2,10_0,11_2,2_6,2_7,4_3,6_2,_2,1_6,6_3,6_2,5_5,9_0,1_2,4_4,1_3,2_3,1_5,9_0,2_0,1_1,8_0,5_3,4_3,1_2,4_3
12,Shots - Outside Box,4_4,3_9,9_1,8_8,0_7,5_5,5_2,6_1,8_5,0_6,3_1,3_4,1_3,5_2,5_1,11_3,5_8,1_6,5_5,4_2,2_3,3_3,3_4,4_2,5_3,5_2,4_2,6_2,1_3,4_3,1_7,7_1,1_4,2_6,8_0,5_5,6_1,7_3,6_3
13,Shots - Inside Box,8_6,2_7,10_7,2_7,5_9,12_6,12_5,5_6,15_3,5_9,8_2,5_5,6_5,10_4,20_2,15_1,5_12,12_5,11_3,12_8,5_4,2_13,10_7,9_9,8_8,16_3,5_7,6_13,11_7,7_3,6_8,12_3,5_5,3_3,12_1,6_6,12_6,6_3,7_7
14,Fouls,11_10,8_10,13_11,7_5,7_12,17_6,7_13,9_8,12_7,7_14,12_5,10_11,14_8,13_11,11_6,16_12,10_8,6_12,11_11,10_14,9_8,12_4,13_8,11_4,8_6,9_11,11_15,11_9,12_12,9_13,18_5,11_5,13_14,14_7,13_13,14_13,18_16,15_16,8_13
