,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Newcastle United - Home,Aston Villa - Away,Tottenham Hotspur - Away,Aston Villa - Home,Watford - Away,Wolverhampton Wanderers - Home,Southampton - Home,West Ham United - Away,Norwich City - Away,Everton - Home,Manchester City - Home,Brentford - Away,Chelsea - Home,Leicester City - Home,Crystal Palace - Away,Tottenham Hotspur - Home,Brighton & Hove Albion - Away,Liverpool - Home,Manchester United - Home,Watford - Home,Arsenal - Away,Leeds United - Away,Manchester United - Away,West Ham United - Home,Newcastle United - Away,Wolverhampton Wanderers - Away,Crystal Palace - Home,Chelsea - Away,Brentford - Home,Southampton - Away,Manchester City - Away,Norwich City - Home,Leicester City - Away,Arsenal - Home,Everton - Away,Leeds United - Home,Liverpool - Away,Brighton & Hove Albion - Home
1,,AVG,1-2,1-1,1-0,1-3,1-2,1-0,2-0,1-1,2-0,3-2,0-2,2-0,0-4,0-2,1-1,1-0,0-3,0-1,1-1,0-0,0-0,3-1,3-1,0-0,1-0,0-0,3-3,1-1,3-1,2-2,2-0,0-0,2-2,0-1,3-1,1-1,2-0,1-2
2,Possession,40%,52%,29%,22%,49%,53%,36%,43%,39%,56%,51%,23%,45%,27%,44%,42%,34%,31%,33%,36%,52%,24%,45%,42%,40%,52%,38%,40%,30%,41%,39%,29%,56%,33%,45%,48%,36%,33%,36%
3,Passes,324_515,344_338,231_587,299_647,424_446,396_334,324_590,354_479,325_505,412_352,337_324,235_778,373_475,285_790,352_443,364_532,326_639,260_579,303_643,288_518,391_359,211_643,297_360,355_484,310_471,356_322,306_589,311_488,285_660,356_521,284_450,318_768,432_356,286_576,392_523,384_416,291_521,263_527,259_518
4,Tackles,15_13,11_22,11_16,11_5,16_13,14_15,19_28,15_15,11_6,11_4,11_19,11_6,15_16,25_14,19_12,10_13,11_15,17_13,14_11,25_15,14_15,18_7,14_18,14_8,19_10,15_13,18_14,15_6,17_8,8_12,10_9,17_11,12_17,13_17,13_18,10_10,23_17,18_14,16_16
5,Corners,5_7,8_2,6_13,2_8,4_5,6_5,3_6,10_10,4_13,7_6,9_6,1_8,9_2,5_2,6_8,4_5,3_7,4_4,5_8,2_10,4_7,4_12,3_9,5_7,6_14,3_10,5_5,3_6,2_14,4_2,2_6,2_6,9_5,3_8,8_3,6_4,5_5,4_8,7_6
6,1st Half Corners,2_2,1_1,3_9,1_5,4_1,2_5,1_3,0_0,2_6,5_4,0_0,1_7,0_0,5_2,2_4,0_0,2_2,4_0,0_0,0_0,0_0,0_0,0_0,0_0,4_6,1_2,3_2,1_2,1_8,2_0,2_3,2_1,6_1,3_1,2_1,3_2,2_0,1_0,2_4
7,2nd Half Corners,1_2,7_1,3_4,0_0,0_4,4_0,2_3,0_0,2_7,0_0,0_0,0_1,0_0,0_0,4_4,0_0,1_5,0_4,0_0,0_0,0_0,0_0,0_0,0_0,2_8,2_8,2_3,2_4,1_6,2_2,0_3,0_5,3_4,0_7,6_2,3_2,2_2,0_1,5_2
8,Shots - Total,11_16,12_8,10_22,8_21,14_12,15_12,16_12,16_11,8_23,18_17,13_16,5_18,7_13,6_11,11_22,5_11,17_10,10_11,8_12,9_22,13_11,7_13,9_23,7_15,9_16,10_19,7_16,15_18,5_25,15_12,9_16,7_15,14_11,9_22,18_13,11_14,12_12,9_27,14_14
9,Shots - On target,3_5,5_6,5_9,1_8,6_7,6_2,7_4,6_3,1_7,4_6,4_4,1_6,1_4,1_5,2_6,1_4,4_2,4_1,5_4,3_5,2_5,1_5,2_6,3_6,1_3,1_4,1_3,9_8,2_4,6_5,5_4,2_6,4_2,3_5,3_3,6_6,3_2,3_9,3_8
