,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Nottingham Forest - Home,Fulham - Away,AFC Bournemouth - Home,Tottenham Hotspur - Away,West Ham United - Home,Wolverhampton Wanderers - Away,Everton - Home,Southampton - Away,Leeds United - Away,Leicester City - Home,Arsenal - Away,Brighton & Hove Albion - Away,Manchester City - Home,Aston Villa - Away,Liverpool - Home,Brentford - Away,Brighton & Hove Albion - Home,Manchester United - Away,Newcastle United - Home,Manchester United - Home,Chelsea - Away,Tottenham Hotspur - Home,AFC Bournemouth - Away,Fulham - Home,Nottingham Forest - Away,West Ham United - Away,Southampton - Home,Everton - Away,Wolverhampton Wanderers - Home,Leicester City - Away,Leeds United - Home,Chelsea - Home,Newcastle United - Away,Brentford - Home,Manchester City - Away,Aston Villa - Home,Liverpool - Away,Arsenal - Home
1,,AVG,1-1,2-2,2-0,1-0,4-3,2-0,0-0,0-2,1-5,2-1,4-1,1-0,0-1,1-0,0-0,1-1,1-1,2-1,0-0,1-1,1-0,0-4,0-2,0-3,1-0,1-2,1-0,3-0,2-1,0-0,2-1,1-2,0-0,1-1,4-2,3-1,1-1,0-2
2,Possession,62%,66%,51%,60%,43%,60%,59%,57%,42%,52%,51%,38%,42%,32%,42%,36%,41%,27%,36%,40%,40%,37%,47%,41%,41%,68%,63%,50.6%,53.5%,51.1%,46.6%,55.2%,32.9%,48.1%,49.3%,25.1%,51.2%,27.1%,56.3%
3,Passes,412_490,538_276,371_352,604_413,378_514,498_334,446_320,414_318,362_499,436_403,446_445,358_587,430_579,290_616,364_526,345_644,360_517,229_695,412_485,306_477,399_626,324_568,472_545,317_455,368_633,633_284,591_419,402_497,456_382,449_428,514_579,418_345,348_635,362_359,472_482,265_770,448_428,274_741,562_438
4,Tackles,17_19,15_20,12_16,22_20,15_13,21_23,11_21,15_14,22_15,22_34,12_24,18_15,15_20,11_14,22_13,16_14,14_12,10_14,9_13,22_19,23_31,23_33,22_22,31_16,15_16,11_21,6_9,19_17,20_25,24_28,12_24,17_28,10_7,23_17,20_14,9_12,14_26,22_21,18_29
5,Corners,5_5,5_4,4_7,11_2,4_8,8_5,11_6,8_1,2_6,4_2,10_1,4_5,4_1,2_6,4_2,5_3,6_2,1_6,5_5,3_15,3_3,7_11,10_4,7_2,1_7,5_1,5_2,8_4,4_3,4_2,2_9,5_3,5_2,5_13,4_6,1_6,4_2,2_4,3_5
6,1st Half Corners,2_2,1_1,0_5,7_1,2_4,3_3,5_4,2_0,0_6,3_2,7_0,1_3,4_0,1_3,3_2,2_0,4_1,1_2,2_5,2_4,1_1,4_9,5_2,3_1,1_3,3_1,3_0,6_1,1_3,3_1,0_2,1_1,3_1,1_6,1_4,1_3,3_1,1_3,1_2
7,2nd Half Corners,2_2,4_3,4_2,4_1,2_4,5_2,6_2,6_1,2_0,1_0,3_1,3_2,0_1,1_3,1_0,3_3,2_1,0_4,3_0,1_11,2_2,3_2,5_2,4_1,0_4,2_0,2_2,2_3,3_0,1_1,2_7,4_2,2_1,4_7,3_2,0_3,1_1,1_1,2_3
8,Shots - Total,10_11,16_7,11_11,17_5,9_8,16_8,14_9,12_10,10_11,16_11,31_3,9_15,11_11,4_14,3_8,6_12,10_12,6_17,10_14,6_11,10_15,12_20,19_14,14_5,4_23,7_9,8_3,14_15,2_4,14_10,8_14,1_7,5_10,11_14,13_10,4_18,16_9,7_24,10_10
9,Shots - On target,4_4,5_4,5_4,5_0,2_3,6_4,4_3,2_5,2_4,8_7,9_2,5_5,3_5,0_4,0_1,0_4,4_5,1_7,3_5,1_7,5_4,5_5,4_6,6_2,0_11,0_2,6_2,3_4,2_6,4_4,1_5,5_4,3_3,9_6,4_3,2_5,9_5,3_4,2_2
