,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Arsenal - Away,Crystal Palace - Home,Brentford - Home,Watford - Away,Leicester City - Away,Chelsea - Home,Liverpool - Away,Leicester City - Home,Manchester United - Home,Burnley - Away,West Ham United - Away,Newcastle United - Home,Wolverhampton Wanderers - Home,Tottenham Hotspur - Away,Manchester City - Home,Southampton - Away,Leeds United - Home,Newcastle United - Away,Aston Villa - Home,Norwich City - Away,Brighton & Hove Albion - Home,Chelsea - Away,Crystal Palace - Away,Arsenal - Home,Liverpool - Home,Brentford - Away,Manchester City - Away,Tottenham Hotspur - Home,Wolverhampton Wanderers - Away,Watford - Home,West Ham United - Home,Manchester United - Away,Norwich City - Home,Aston Villa - Away,Burnley - Home,Brighton & Hove Albion - Away,Leeds United - Away,Southampton - Home
1,,AVG,5-1,3-2,2-3,0-0,1-2,1-0,2-0,1-1,1-0,3-2,2-1,1-0,0-1,5-0,0-1,2-0,3-0,3-1,0-1,2-1,2-3,1-1,3-1,2-1,1-4,1-0,3-0,0-0,2-1,2-5,0-1,1-1,2-0,3-0,3-1,0-2,2-2,3-1
2,Possession,42%,26%,43%,28%,52%,34%,24%,14%,36%,33%,49%,44%,44%,38%,45%,32%,44%,42%,61%,50%,60%,48%,20%,39%,36%,31%,60%,23%,45%,38%,50%,38%,28%,47%,44%,52%,34%,30%,48%
3,Passes,341_538,234_647,347_467,212_586,488_470,332_631,197_720,173_787,353_631,307_641,324_337,407_529,276_447,356_597,530_650,320_676,401_506,344_467,454_292,338_361,435_284,399_425,194_777,306_487,329_588,269_599,536_359,247_861,428_534,373_617,389_388,327_539,268_700,420_487,310_384,416_384,315_612,253_606,337_370
4,Tackles,18_16,22_13,26_20,5_14,25_15,13_16,8_14,12_9,15_11,16_12,19_11,9_11,18_15,22_12,19_25,21_17,20_21,22_29,19_21,24_26,16_18,18_25,19_12,26_14,13_19,9_14,19_19,19_16,22_16,26_15,25_11,19_13,20_7,18_12,21_10,10_10,17_25,16_19,23_21
5,Corners,4_6,2_12,4_5,5_2,13_1,1_6,3_8,1_13,5_4,5_7,6_9,4_2,5_7,5_2,2_5,3_4,4_4,5_3,2_6,9_2,8_8,8_5,1_7,2_8,3_3,3_11,3_3,1_7,4_2,3_4,3_5,7_9,1_10,6_4,4_5,4_6,5_4,5_8,6_8
6,1st Half Corners,1_2,1_7,2_2,3_1,0_0,1_1,0_1,1_3,0_0,2_2,0_0,2_1,2_5,5_1,0_0,1_2,1_4,3_2,0_0,0_0,0_0,0_0,0_2,0_3,1_3,1_7,2_3,0_5,1_0,0_3,2_2,2_2,0_4,3_1,4_2,2_3,0_0,0_0,1_2
7,2nd Half Corners,1_2,1_5,2_3,2_1,0_0,0_5,0_0,0_0,0_0,3_5,0_0,2_1,3_2,0_1,0_0,2_2,3_0,2_1,0_0,0_0,0_0,0_0,1_5,2_5,2_0,2_4,1_0,1_2,3_2,3_1,1_3,5_7,1_6,3_3,0_3,2_3,0_0,0_0,5_6
8,Shots - Total,11_14,6_26,12_7,10_18,16_6,9_17,9_17,9_18,13_12,7_12,16_13,13_11,9_17,7_14,2_12,6_13,9_19,21_7,11_21,8_7,12_14,17_12,7_23,12_17,11_9,8_16,14_6,4_17,12_8,14_10,15_20,15_16,12_13,11_10,11_15,14_11,14_14,17_17,14_6
9,Shots - On target,4_5,2_9,6_5,5_7,5_0,3_9,4_5,1_4,3_4,3_4,4_4,2_5,3_6,2_3,0_7,2_8,0_11,10_0,4_10,1_3,5_3,6_5,4_9,6_6,5_3,2_7,5_4,1_7,2_0,5_4,4_8,2_4,2_6,4_2,1_3,6_6,5_3,8_4,6_3
