,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Aston Villa - Home,West Ham United - Away,Wolverhampton Wanderers - Away,Newcastle United - Home,Leeds United - Away,Watford - Home,Brighton & Hove Albion - Home,Liverpool - Home,Liverpool - Home,Burnley - Away,Southampton - Away,Crystal Palace - Away,Manchester United - Home,Peterborough United - Away,Everton - Away,Tottenham Hotspur - Home,Norwich City - Away,Brentford - Home,Fulham - Home,Southampton - Away,Chelsea - Home,Swindon Town - Away,Arsenal - Away,Brentford - Away,Leicester City - Home,Newcastle United - Away,Leeds United - Home,Wolverhampton Wanderers - Home,Watford - Away,Aston Villa - Away,West Ham United - Home,Everton - Home,Manchester United - Away,Crystal Palace - Home,Brighton & Hove Albion - Away,Burnley - Home,Liverpool - Away,Chelsea - Away
1,,AVG,3-2,2-2,1-5,5-0,0-4,5-1,3-0,2-3,2-2,0-2,1-4,0-0,4-1,0-2,0-1,2-3,0-4,2-0,4-1,1-1,1-0,1-4,1-2,0-1,6-3,0-4,7-0,1-0,1-3,1-2,2-1,3-0,0-2,0-2,1-4,2-0,2-2,0-1
2,Possession,66%,71%,78%,66%,71%,60%,74%,65%,49%,55%,77%,64%,74%,69%,76%,68%,72%,71%,76%,59%,74%,56%,78%,71%,76%,72%,72%,64%,71%,77%,64%,68%,77%,68%,68%,52%,71%,52%,59%
3,Passes,679_319,601_243,697_189,787_383,712_281,617_421,701_247,667_353,489_506,566_468,778_235,569_311,765_269,754_331,609_195,676_320,755_308,707_281,709_227,618_403,777_278,579_459,783_226,644_249,716_217,736_289,709_265,608_338,746_310,830_239,611_333,728_330,861_247,832_400,654_319,566_501,768_318,529_501,599_413
4,Tackles,13_16,11_17,10_9,22_16,7_19,9_29,24_9,15_20,18_17,17_18,6_11,15_13,13_16,13_16,17_22,17_21,13_17,5_11,7_12,14_20,21_20,9_23,17_14,14_16,11_17,7_14,20_12,11_17,10_14,15_14,11_24,15_16,16_19,12_18,16_21,6_14,11_17,11_16,16_13
5,Corners,8_3,13_1,9_4,2_6,8_2,6_3,11_4,7_4,5_3,4_1,8_1,6_6,6_2,9_3,14_1,4_3,10_0,12_4,9_3,11_2,11_2,9_1,9_2,5_5,5_3,14_4,6_3,6_2,14_1,11_5,10_4,8_4,7_1,9_1,7_1,6_7,6_2,4_3,13_4
6,1st Half Corners,3_1,7_1,2_2,1_3,4_1,2_1,7_2,0_0,1_1,4_0,7_1,3_2,4_1,3_2,10_1,2_1,0_0,7_2,0_0,3_0,4_0,0_0,5_1,0_0,3_2,8_4,3_1,3_0,4_0,5_1,6_1,1_2,5_0,6_0,4_0,1_2,1_2,2_2,9_1
7,2nd Half Corners,3_1,6_0,7_2,1_3,4_1,3_2,4_2,0_0,4_2,0_1,1_0,3_4,2_1,6_1,4_0,2_2,0_0,5_2,0_0,8_2,7_2,0_0,4_1,0_0,2_1,6_0,3_2,3_2,10_1,6_4,4_3,7_2,2_1,3_1,3_1,5_5,5_0,2_1,4_3
8,Shots - Total,19_7,24_4,30_6,15_7,21_7,19_7,18_5,20_3,8_10,11_6,18_5,19_13,18_7,24_5,23_5,13_6,21_6,22_8,14_6,19_7,21_7,11_4,23_5,15_7,12_6,17_14,15_5,31_6,24_2,26_11,17_9,19_5,17_4,16_5,14_8,23_10,15_7,12_6,15_5
9,Shots - On target,7_2,5_2,8_2,5_3,9_3,6_2,8_2,6_1,5_6,5_4,6_1,6_3,4_1,10_2,5_3,8_2,4_5,9_3,6_2,6_3,5_3,6_1,9_3,2_2,3_2,9_8,7_1,15_3,10_1,13_4,7_3,9_3,7_1,5_1,3_3,13_5,6_2,3_4,4_0
10,Shots - Off target,9_3,10_1,22_4,9_3,12_4,13_5,10_3,14_2,3_4,6_2,12_4,13_10,14_6,6_1,18_2,3_3,17_1,8_4,8_4,13_4,16_4,3_2,14_2,6_4,5_2,3_5,8_4,16_3,8_1,13_7,10_6,6_1,6_0,7_3,4_4,3_4,5_4,9_2,5_1
11,Shots - Blocked,6_2,9_1,13_1,2_1,7_1,8_4,6_1,8_0,3_1,2_1,3_0,6_5,6_1,8_2,6_2,2_1,6_1,5_1,2_2,8_0,7_1,2_1,7_1,7_1,4_2,5_1,3_0,8_1,6_0,5_1,5_3,4_1,4_3,4_1,7_1,7_1,4_1,6_3,6_4
12,Shots - Outside Box,6_2,6_1,13_1,3_2,7_2,6_0,3_0,8_1,1_2,4_2,5_1,7_5,6_1,4_1,6_1,5_2,5_2,4_1,4_2,9_3,9_1,3_2,8_3,7_2,5_3,5_4,2_3,14_4,8_0,4_5,7_1,6_4,5_1,4_2,4_2,5_3,2_1,3_1,4_3
13,Shots - Inside Box,13_4,18_3,18_5,12_5,14_5,13_7,18_5,9_1,9_9,7_4,13_2,12_8,13_6,20_4,17_4,8_4,16_4,18_7,11_4,10_3,11_6,8_2,16_2,8_5,7_3,12_10,16_2,17_2,16_2,22_6,10_8,13_1,12_3,12_3,10_6,18_7,13_6,9_5,11_2
14,Fouls,8_9,5_11,5_9,11_2,6_11,3_13,8_7,12_7,15_11,9_11,5_11,5_5,11_6,10_14,7_7,14_7,5_7,8_7,7_13,9_6,5_13,11_6,7_5,5_13,10_12,11_9,6_9,5_9,12_5,7_10,12_8,7_6,5_7,12_10,11_11,6_10,11_5,12_10,10_12
15,Offsides,2_2,1_2,0_1,3_2,1_4,1_3,0_2,1_2,2_3,5_2,0_5,2_2,3_2,0_1,0_3,2_4,1_3,2_2,2_10,3_2,0_2,3_4,3_0,2_1,3_0,2_1,2_4,1_0,1_0,1_0,0_1,4_4,0_2,1_4,2_5,1_2,0_3,5_2,4_3
16,Yellow Card,1_2,0_2,1_3,1_0,1_3,2_1,1_0,0_3,2_3,1_4,0_1,1_0,1_3,0_1,2_1,2_3,0_3,2_0,0_0,1_0,0_3,0_2,3_0,2_5,0_0,1_2,2_1,1_1,3_4,0_3,0_0,2_0,1_1,2_1,2_3,3_2,1_0,3_3,2_3
17,Red Card,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_1,0_0,0_0,0_0,0_0,0_1,0_0,0_0,0_0,0_0,0_0,1_0,0_0,0_0,0_0,0_0
18,Penalties,0_0,0_0,1_0,0_0,0_0,0_0,1_0,0_0,0_0,0_0,0_0,1_0,0_0,0_0,0_0,0_0,1_0,1_0,1_0,1_0,0_0,0_0,1_0,1_0,0_0,2_0,0_0,0_0,1_0,0_0,0_0,0_0,0_0,0_0,0_0,0_1,0_0,0_0,0_0
