,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Wolverhampton Wanderers - Away,Fulham - Home,Liverpool - Home,Leicester City - Home,Aston Villa - Away,Leeds United - Away,Burnley - Home,Tottenham Hotspur - Away,Brighton & Hove Albion - Home,West Ham United - Home,Manchester City - Away,Crystal Palace - Away,Chelsea - Away,Newcastle United - Home,West Bromwich Albion - Away,Everton - Home,Southampton - Home,Arsenal - Away,Sheffield United - Home,Fulham - Away,Liverpool - Away,Burnley - Away,Aston Villa - Home,Wolverhampton Wanderers - Home,Leicester City - Away,Leeds United - Home,Sheffield United - Away,Manchester City - Home,West Ham United - Away,Southampton - Away,West Bromwich Albion - Home,Everton - Away,Arsenal - Home,Chelsea - Home,Newcastle United - Away,Tottenham Hotspur - Home,Brighton & Hove Albion - Away,Crystal Palace - Home
1,,AVG,1-2,1-1,2-4,1-2,1-3,0-0,3-1,1-3,2-1,1-0,0-2,0-0,0-0,3-1,1-1,3-3,9-0,0-0,1-2,1-2,0-0,0-1,2-1,1-0,2-2,6-2,2-3,0-0,1-3,2-3,1-0,1-3,0-1,0-0,1-4,1-6,2-3,1-3
2,Possession,55%,43%,57%,53%,50%,60%,56%,70%,53%,59%,63%,35%,62%,42%,73%,72%,62%,71%,56%,76%,62%,35%,63%,46%,58%,46%,41%,60%,46%,61%,51%,63%,46%,53%,50%,64%,38%,47%,75%
3,Passes,552_436,440_571,544_410,511_454,561_490,563_383,483_385,610_266,503_439,604_436,684_411,374_715,600_353,445_608,692_270,707_253,653_397,626_215,566_436,803_257,636_400,344_667,566_334,407_417,611_439,439_507,354_478,557_362,502_579,631_392,519_525,663_385,453_523,556_495,582_582,629_358,416_672,445_488,705_225
4,Tackles,14_17,14_19,13_25,22_16,12_17,10_14,15_30,13_15,19_21,13_22,12_13,13_17,6_19,14_25,11_15,9_14,14_15,13_20,9_12,21_16,18_12,20_16,12_5,11_18,15_16,20_17,19_16,18_20,23_6,12_12,19_22,13_13,13_25,10_20,13_17,14_18,15_23,15_12,14_24
5,Corners,5_4,2_6,6_1,6_4,3_4,6_5,6_2,8_3,5_7,5_6,6_2,2_6,6_4,4_3,6_4,5_4,5_1,5_3,7_4,7_2,8_2,3_7,4_3,3_6,2_2,0_5,11_13,3_6,4_3,4_5,9_5,8_2,2_5,6_3,9_6,7_0,2_4,1_7,9_3
6,1st Half Corners,1_1,0_1,0_1,2_4,0_0,0_1,1_1,0_0,0_0,0_1,0_1,0_0,1_1,0_0,0_0,1_0,2_0,0_2,0_0,0_0,3_0,0_2,2_0,0_0,1_1,0_2,4_6,1_2,4_0,3_3,4_3,1_2,1_1,1_3,5_3,5_0,1_3,0_3,4_2
7,2nd Half Corners,2_1,0_0,0_0,4_0,3_1,0_0,2_0,0_0,0_1,2_0,1_1,0_0,0_0,0_0,0_0,0_0,1_0,1_0,0_1,1_1,5_2,3_5,0_0,1_3,1_1,0_3,7_7,2_4,0_3,1_2,5_2,7_0,1_4,5_0,4_3,2_0,1_1,1_4,5_1
8,Shots - Total,14_11,9_14,14_8,18_17,4_12,18_11,16_6,17_10,12_12,15_5,15_7,8_23,11_8,11_18,15_10,10_7,14_6,24_3,14_17,16_5,15_12,8_17,13_11,19_15,11_9,9_10,26_17,15_12,11_9,15_19,15_10,17_7,13_7,8_7,14_6,28_7,5_22,7_18,17_14
9,Shots - On target,6_4,4_4,6_5,3_8,1_3,7_5,4_3,9_3,7_3,8_3,5_0,6_6,1_2,4_6,7_6,7_3,5_3,14_1,3_3,4_3,5_5,4_3,7_0,9_5,3_5,4_2,14_4,9_6,2_2,6_6,6_5,7_2,5_1,2_2,4_1,14_4,2_8,3_5,4_5
10,Shots - Off target,6_6,5_10,9_3,8_5,3_9,11_6,12_3,9_7,2_6,7_2,10_7,2_17,10_6,7_12,8_5,3_4,9_3,9_2,11_14,12_2,6_4,1_6,2_6,5_6,5_2,4_4,6_7,4_5,6_3,6_9,5_3,2_4,5_5,3_5,5_2,6_2,2_6,1_9,4_6
11,Shots - Blocked,4_3,0_4,2_1,7_4,1_6,7_3,5_2,4_3,4_5,2_2,7_4,2_7,5_3,5_7,4_1,4_0,3_0,5_0,3_6,7_1,4_4,3_8,4_5,5_4,3_2,1_4,6_7,2_1,3_5,3_4,4_2,8_1,3_1,3_0,5_3,8_1,1_8,3_4,9_3
12,Shots - Outside Box,5_4,3_4,9_3,5_3,0_8,7_6,7_3,2_4,3_3,6_0,6_1,1_10,5_3,9_10,6_7,4_1,5_1,10_2,6_9,6_0,5_4,3_8,4_5,7_3,5_2,1_5,7_3,6_3,4_3,5_5,5_5,6_1,6_2,4_4,7_2,13_4,3_6,1_6,10_5
13,Shots - Inside Box,9_7,6_10,4_5,13_14,4_4,11_5,9_3,15_6,9_9,9_5,9_6,7_13,6_5,2_8,9_3,6_6,9_5,14_1,8_8,10_5,10_8,5_9,9_6,12_12,6_7,8_5,19_14,9_9,7_6,10_14,10_5,11_6,7_5,4_3,7_4,15_3,2_16,6_12,7_9
14,Fouls,12_11,3_14,10_15,10_12,9_12,18_13,11_21,9_12,15_11,14_7,12_2,12_9,13_4,12_11,9_11,10_13,14_11,11_6,16_9,10_12,10_6,6_15,13_15,22_10,11_7,17_10,6_6,8_17,13_6,10_9,12_12,12_17,19_12,12_12,8_6,12_9,14_11,16_18,13_10
15,Offsides,2_1,1_1,4_1,1_1,3_0,0_0,0_2,2_4,1_3,0_2,0_2,1_0,2_1,3_1,2_1,3_2,0_2,3_2,1_0,0_3,2_1,8_1,2_3,1_1,1_1,4_1,2_4,4_2,2_2,3_4,0_0,1_1,1_3,4_0,2_0,2_0,1_0,4_1,1_2
16,Yellow Card,2_2,1_4,2_3,3_0,0_0,1_3,1_4,1_2,5_1,2_2,4_0,3_0,0_1,2_1,1_2,0_5,2_1,2_3,3_1,1_1,1_3,1_2,2_1,0_0,1_1,1_2,1_0,2_3,1_1,0_0,0_1,1_1,2_4,3_3,3_1,1_1,2_1,2_4,2_1
17,Red Card,0_0,0_0,0_0,0_0,0_0,0_1,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_2,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,1_0,0_0,0_0
18,Penalties,0_0,1_0,0_0,0_0,0_0,1_0,0_0,0_0,0_0,0_0,0_0,1_0,0_0,0_0,1_0,0_0,0_0,1_0,0_0,0_0,0_0,0_0,0_0,1_0,0_0,0_0,1_0,0_0,0_0,0_0,0_0,1_0,0_0,0_1,0_0,1_0,1_1,1_1,0_1
19,Free Kicks,12_13,12_9,19_13,13_11,,12_18,23_11,16_11,14_16,0_0,,8_13,5_15,12_15,,15_13,14_14,8_13,9_17,17_10,7_12,16_14,6_12,10_23,9_15,12_20,9_8,19_12,8_15,13_13,12_11,17_13,15_20,12_15,6_10,,11_14,18_19,12_13
20,Goal Kicks,7_6,13_5,9_7,8_10,,7_4,1_8,5_7,8_4,0_0,,17_3,5_8,10_5,,8_4,7_7,3_10,11_8,2_9,7_14,10_3,10_5,8_10,5_12,4_3,10_4,8_5,10_6,8_5,4_7,8_6,10_6,9_4,6_4,,6_4,8_3,4_7
21,Throw-ins,20_17,17_20,18_15,19_18,25_21,16_12,28_18,25_11,19_20,17_18,11_19,11_20,29_20,28_18,16_15,28_11,14_20,18_8,25_9,23_12,32_16,22_19,18_13,13_19,19_15,24_20,15_22,23_22,15_21,15_18,21_21,21_19,19_19,21_9,26_17,,20_12,11_18,24_14
22,Saves,3_4,3_2,4_6,4_0,2_0,5_5,3_4,2_5,2_4,2_5,0_3,6_4,2_1,5_4,5_4,2_5,1_3,1_6,3_3,1_3,4_3,3_4,0_6,4_7,1_0,1_2,1_8,4_4,2_1,5_2,3_3,2_6,0_2,1_3,1_4,4_8,2_1,3_1,2_3
23,Won 1st Half,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
24,Won 2nd Half,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
25,Most 1st Half Corners,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
26,Most 2nd Half Corners,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
27,1st Half Cards,0_1,0_2,1_0,0_0,0_0,0_1,0_2,1_0,2_0,0_1,1_0,1_0,0_0,0_0,1_2,0_1,0_0,0_3,0_1,1_1,1_1,0_1,2_0,0_0,0_0,1_0,0_0,0_0,0_0,0_0,0_1,0_0,0_2,1_2,1_1,1_0,1_1,2_1,0_0
28,2nd Half Cards,1_1,1_2,1_3,3_0,0_0,1_2,1_2,0_2,3_1,2_1,3_0,2_0,0_1,2_1,0_0,0_4,2_1,2_2,3_0,0_0,0_2,1_1,0_1,4_0,1_1,0_2,1_0,2_3,1_1,0_0,0_0,1_1,2_2,2_1,2_0,0_1,2_0,0_3,2_1
