,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Fulham - Away,Sheffield United - Home,Manchester City - Home,Leicester City - Away,Arsenal - Home,Liverpool - Away,West Ham United - Home,Burnley - Away,Tottenham Hotspur - Home,Brighton & Hove Albion - Away,Aston Villa - Home,West Bromwich Albion - Away,Wolverhampton Wanderers - Home,Manchester United - Away,Chelsea - Away,Southampton - Home,Crystal Palace - Home,Everton - Away,Leeds United - Home,Aston Villa - Away,Arsenal - Away,Sheffield United - Away,Leicester City - Home,Liverpool - Home,Manchester City - Away,Fulham - Home,Leeds United - Away,West Bromwich Albion - Home,Crystal Palace - Away,Chelsea - Home,Southampton - Away,Everton - Home,Wolverhampton Wanderers - Away,Manchester United - Home,Burnley - Home,Tottenham Hotspur - Away,Brighton & Hove Albion - Home,West Ham United - Away
1,,AVG,0-2,1-0,3-4,2-4,0-2,1-1,3-2,1-2,2-2,3-0,1-1,0-0,1-1,3-1,2-0,3-2,1-2,0-2,1-2,2-0,3-0,1-0,1-2,0-0,2-0,1-1,5-2,2-1,0-2,0-2,2-0,2-1,1-1,1-4,3-1,1-1,0-3,0-2
2,Possession,40%,36%,50%,18%,31%,38%,32%,34%,44%,41%,34%,49%,47%,47%,27%,34%,30%,51%,39%,43%,41%,34%,34%,44%,30%,25%,49%,32%,45%,43%,28%,40%,37%,37%,36%,47%,35%,47%,42%
3,Passes,345_571,333_597,474_461,195_925,274_596,396_640,350_793,272_510,342_445,348_521,382_728,392_411,365_396,388_423,270_692,289_564,221_610,610_397,301_488,313_450,369_567,323_634,283_559,372_492,241_661,272_862,470_480,246_533,401_484,375_503,287_747,360_561,369_607,400_702,358_629,416_455,319_640,386_444,342_474
4,Tackles,13_14,13_18,8_16,13_21,10_13,12_5,15_21,13_11,10_12,11_14,10_16,20_17,17_11,18_15,15_11,16_19,16_17,6_4,14_17,10_13,14_10,11_7,15_11,16_14,19_10,11_8,12_7,8_13,7_18,24_15,6_13,13_32,13_22,23_11,18_14,5_13,16_10,10_8,13_14
5,Corners,4_6,4_5,5_2,4_5,6_9,3_7,3_6,3_8,3_13,7_3,1_3,2_2,7_9,3_5,4_6,5_10,0_7,9_1,12_7,9_4,4_4,2_7,2_5,2_1,4_2,3_7,2_9,4_7,4_3,3_7,7_4,3_7,5_4,3_2,0_7,3_4,4_10,7_1,7_8
6,1st Half Corners,1_1,0_0,0_0,2_3,0_0,1_0,0_0,1_0,1_1,1_0,0_0,1_0,0_0,0_1,0_0,0_0,0_1,0_0,2_0,1_0,0_0,1_5,0_1,0_0,0_0,2_5,2_5,0_2,2_2,1_3,3_2,2_1,2_2,2_1,0_5,2_2,2_5,3_0,4_2
7,2nd Half Corners,1_2,0_2,0_1,2_2,0_1,0_1,0_2,0_0,0_2,0_0,0_1,0_0,1_0,0_0,0_0,0_0,0_0,5_0,4_0,1_1,1_0,1_2,1_0,0_0,0_0,1_2,0_4,4_5,2_1,2_4,4_2,1_6,3_2,1_1,0_2,1_2,2_5,4_1,3_6
8,Shots - Total,11_15,10_14,17_11,11_15,14_25,5_19,7_22,16_16,10_24,22_11,3_11,12_15,9_13,19_14,10_15,10_18,8_18,21_6,13_11,22_10,7_17,4_20,7_17,8_9,8_11,7_11,12_11,10_25,12_13,14_12,8_14,4_15,11_15,5_16,7_28,10_7,6_23,6_13,15_15
9,Shots - On target,4_5,4_0,6_1,5_6,6_9,1_5,4_9,8_6,5_4,6_5,1_6,3_6,5_3,7_4,6_7,4_6,4_6,5_3,3_3,5_3,1_7,1_6,3_4,2_3,2_4,2_6,5_4,4_10,7_3,7_3,1_3,2_8,4_4,2_3,4_14,5_3,1_12,0_6,2_3
10,Shots - Off target,5_7,3_7,11_9,3_7,4_7,3_10,1_8,8_10,5_18,7_4,2_5,9_10,2_6,13_11,5_8,4_7,4_12,10_2,5_6,17_7,6_10,2_11,3_6,3_5,4_4,3_2,5_4,5_8,1_4,5_8,4_6,1_2,3_6,0_8,2_6,4_2,2_7,4_6,7_5
11,Shots - Blocked,3_4,3_7,3_1,3_2,4_9,1_5,2_5,8_6,3_7,9_2,0_4,5_5,2_4,7_3,1_4,2_5,1_5,6_1,7_2,7_3,2_3,1_3,1_7,3_2,2_3,2_3,2_3,1_7,4_6,2_1,3_5,1_5,4_5,3_5,1_8,1_2,3_4,2_1,6_7
12,Shots - Outside Box,4_6,5_6,8_5,1_8,5_8,2_7,1_9,9_8,0_7,5_4,1_3,3_8,2_5,8_7,7_6,3_3,2_4,6_3,4_3,13_1,1_5,1_6,3_4,3_5,3_5,3_3,6_5,2_8,3_9,7_4,4_5,1_6,4_6,3_12,4_13,4_1,2_8,3_7,5_5
13,Shots - Inside Box,7_9,5_8,8_6,10_7,9_17,3_12,6_13,7_8,10_17,17_7,2_8,9_7,7_8,11_7,3_9,7_15,4_10,15_3,9_8,9_8,6_9,3_14,4_13,5_4,5_6,4_8,6_6,8_17,9_4,7_8,4_9,3_9,7_9,2_4,3_15,6_6,4_15,3_6,10_10
14,Fouls,10_11,6_12,7_7,11_10,9_12,10_9,7_9,9_7,12_11,13_14,5_12,10_10,10_11,11_13,11_9,13_9,11_14,14_11,6_13,10_15,18_9,8_9,12_13,10_11,9_13,12_5,7_17,13_10,9_12,10_9,11_12,11_12,9_10,10_10,9_12,13_17,9_15,16_15,7_13
15,Offsides,2_2,0_1,2_4,0_0,2_2,1_1,5_1,2_0,2_0,1_3,1_2,0_4,1_1,2_0,1_2,2_0,3_5,1_2,0_4,1_0,2_1,1_4,2_0,3_3,2_4,3_1,1_0,2_4,3_2,0_0,2_2,1_4,1_0,0_0,0_2,4_5,1_0,1_2,4_2
16,Yellow Card,2_1,0_1,0_2,2_2,1_1,2_1,1_2,2_2,0_1,3_2,1_0,2_3,0_0,2_0,2_1,0_0,4_1,1_3,4_3,1_3,3_0,0_0,5_2,1_0,1_1,2_2,1_3,1_3,2_3,2_2,2_0,2_1,2_4,1_0,1_1,2_3,4_1,3_0,2_2
17,Red Card,0_0,0_0,0_0,0_0,0_0,1_0,0_0,0_1,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,1_0,0_0,0_0,0_0,0_0,0_0,1_0,0_0,0_0,0_0,0_1,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_1,0_0
18,Penalties,0_0,1_0,0_0,2_0,0_0,0_0,0_0,0_1,0_0,0_0,0_0,0_0,0_0,0_0,0_1,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_1,0_0,0_0,0_0,1_0,0_0,0_0,0_0,0_0,0_0,1_0,0_0,0_1,1_0,1_0,0_1,0_0
19,Free Kicks,12_11,12_6,,8_11,14_10,10_11,10_11,7_10,10_15,17_14,14_6,14_10,,,,9_15,,7_5,17_6,17_10,10_20,13_9,0_0,13_13,17_11,6_15,,,,,14_13,16_12,9_10,10_10,,,14_10,,
20,Goal Kicks,8_4,7_4,,9_2,8_4,9_4,13_4,8_3,8_7,9_6,4_2,9_5,,,,11_7,,1_5,11_8,8_13,9_3,12_6,0_0,10_4,7_5,5_2,,,,,7_4,8_3,11_3,12_2,,,6_3,,
21,Throw-ins,18_18,22_22,27_19,11_14,15_18,13_11,19_19,16_39,23_22,20_8,19_20,23_30,25_26,12_16,15_16,26_15,17_19,12_5,21_15,21_26,28_15,16_10,0_0,27_13,18_27,13_17,,,,,17_13,20_24,29_23,17_18,,,11_19,,
22,Saves,4_3,0_2,2_5,2_2,7_3,3_1,8_3,4_5,5_3,3_5,3_1,6_2,3_5,3_6,4_5,3_4,4_2,1_4,3_1,0_4,2_1,3_1,3_1,2_2,8_4,4_2,4_4,5_2,2_4,3_5,2_1,5_2,3_2,3_1,8_4,2_2,11_0,4_0,3_0
23,Won 1st Half,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
24,Won 2nd Half,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
25,Most 1st Half Corners,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
26,Most 2nd Half Corners,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
