,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Burnley - Home,Newcastle United - Away,Everton - Away,Crystal Palace - Home,Tottenham Hotspur - Away,Brighton & Hove Albion - Home,Wolverhampton Wanderers - Away,Arsenal - Home,Leeds United - Away,Leicester City - Away,Southampton - Home,Aston Villa - Home,Liverpool - Home,Fulham - Away,West Ham United - Away,Chelsea - Home,West Bromwich Albion - Home,Manchester City - Away,Manchester United - Away,Tottenham Hotspur - Home,Newcastle United - Home,Crystal Palace - Away,Burnley - Away,Everton - Home,Brighton & Hove Albion - Away,Manchester United - Home,Southampton - Away,Leicester City - Home,West Bromwich Albion - Away,West Ham United - Home,Chelsea - Away,Manchester City - Home,Liverpool - Away,Fulham - Home,Arsenal - Away,Leeds United - Home,Aston Villa - Away,Wolverhampton Wanderers - Home
1,,AVG,1-0,1-0,0-1,0-2,4-0,1-0,1-0,0-3,2-1,5-0,0-2,1-0,0-2,1-0,3-0,1-2,2-1,1-0,1-2,1-3,1-0,2-0,1-0,0-1,1-1,2-3,3-0,1-2,1-0,0-1,4-1,0-1,2-1,1-1,2-1,0-1,1-0,0-2
2,Possession,43%,43%,50%,38%,50%,34%,33%,53%,46%,45%,28%,51%,28%,40%,35%,54%,31%,68%,25%,24%,42%,66%,67%,63%,43%,27%,40%,32%,29%,52%,50%,30%,35%,38%,41%,36%,36%,29%,55%
3,Passes,385_561,361_482,461_474,385_635,412_423,356_715,295_640,512_479,469_577,410_491,291_750,393_390,263_641,406_638,321_597,500_429,338_756,593_268,273_805,257_803,413_580,559_283,510_414,551_322,420_545,203_545,362_557,259_572,273_674,402_380,517_497,320_762,375_715,406_683,399_563,373_699,327_578,221_553,460_391
4,Tackles,16_14,19_16,16_8,14_21,22_21,13_11,24_11,19_15,17_12,17_15,13_19,15_16,13_9,11_13,20_7,18_9,17_16,9_10,15_12,16_21,19_17,11_15,22_24,13_12,18_13,12_12,20_18,17_21,16_18,14_12,25_12,11_13,19_12,22_7,15_14,11_8,23_13,9_5,16_14
5,Corners,4_6,8_9,2_5,4_11,5_11,6_6,2_12,3_3,2_4,7_5,1_9,7_3,2_7,4_3,4_6,7_7,1_8,9_2,0_10,2_7,5_7,5_2,2_3,5_3,5_3,2_14,6_3,4_8,6_5,9_14,2_6,7_6,2_5,3_7,2_5,4_2,5_7,4_10,12_5
6,1st Half Corners,1_2,0_1,0_0,1_6,1_4,0_0,0_1,1_3,0_0,0_0,0_0,1_0,0_1,0_3,0_1,0_0,0_1,1_0,0_0,0_0,3_3,1_0,0_0,3_2,1_1,1_6,2_1,1_5,3_2,3_8,2_3,4_3,2_3,2_3,2_1,1_2,2_1,2_8,4_2
7,2nd Half Corners,2_2,1_1,1_0,3_5,0_1,0_1,0_2,2_0,0_0,2_0,1_3,0_0,0_1,1_0,1_0,0_1,0_1,4_1,0_3,1_1,2_4,0_1,5_3,2_1,4_2,1_8,4_2,3_3,3_3,6_6,0_3,3_3,0_2,1_4,0_4,3_0,3_6,2_2,8_3
8,Shots - Total,9_14,12_10,11_17,10_16,7_21,8_20,7_18,8_10,7_14,10_24,1_19,8_15,9_16,10_16,4_15,8_13,8_9,14_8,4_10,5_16,15_14,17_7,7_9,7_5,10_7,5_21,12_15,3_16,4_13,21_17,9_15,6_20,3_16,13_17,10_15,6_6,14_17,4_18,9_11
9,Shots - On target,3_6,3_3,1_6,3_6,0_8,1_11,3_5,2_5,2_5,1_9,0_10,2_7,2_4,4_9,2_7,5_9,3_3,6_4,1_5,3_4,5_5,4_3,2_4,3_3,2_3,3_5,6_9,0_6,1_4,5_6,5_3,3_9,1_8,2_5,6_6,2_5,4_9,1_2,2_4
10,Shots - Off target,4_6,7_3,9_11,3_5,6_7,3_6,4_13,2_3,5_8,9_15,1_4,6_5,5_5,6_6,2_6,2_3,3_4,4_2,3_2,2_12,3_4,6_3,1_2,2_2,5_3,2_8,5_4,3_7,2_4,10_7,3_5,1_5,1_4,7_7,3_5,2_0,5_5,2_11,5_5
11,Shots - Blocked,2_4,2_5,1_3,4_5,1_6,4_4,3_5,4_2,3_6,4_6,0_8,1_4,2_7,2_4,1_3,1_1,2_2,4_2,1_4,1_7,7_5,7_1,4_3,2_0,3_1,0_9,1_2,0_3,1_5,6_4,1_7,2_6,1_4,4_5,1_4,2_1,5_3,1_5,2_2
12,Shots - Outside Box,3_5,4_3,5_8,5_4,1_5,3_10,2_5,3_1,2_6,6_10,0_5,4_8,3_4,3_3,0_8,3_4,3_2,5_1,4_4,0_6,8_9,4_3,3_3,3_1,1_3,2_5,3_6,0_5,1_4,3_8,3_2,2_10,1_6,4_7,4_6,5_1,5_8,1_7,1_4
