,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Leeds United - Away,Brentford - Home,Aston Villa - Away,Crystal Palace - Home,Liverpool - Away,Manchester United - Home,Newcastle United - Away,AFC Bournemouth - Home,Brighton & Hove Albion - Home,Everton - Away,Southampton - Away,Nottingham Forest - Home,Wolverhampton Wanderers - Away,Chelsea - Home,West Ham United - Home,Leicester City - Away,Manchester City - Home,Fulham - Away,Manchester City - Away,Arsenal - Home,Crystal Palace - Away,Aston Villa - Home,Brentford - Away,Leeds United - Home,Liverpool - Home,AFC Bournemouth - Away,Newcastle United - Home,Manchester United - Away,Everton - Home,Brighton & Hove Albion - Away,Arsenal - Away,Leicester City - Home,Fulham - Home,West Ham United - Away,Nottingham Forest - Away,Wolverhampton Wanderers - Home,Chelsea - Away,Southampton - Home
1,,AVG,1-4,1-3,2-1,1-0,4-3,2-2,6-1,2-3,2-1,1-1,3-3,3-1,1-0,2-0,2-0,4-1,1-0,0-1,4-2,0-2,0-4,0-2,2-2,4-3,1-2,2-3,1-2,2-0,2-0,0-1,3-1,6-2,2-1,1-1,0-2,1-0,2-2,4-1
2,Possession,46%,48%,62%,51%,57%,32%,40%,43%,57%,35%,61%,49%,56%,54%,41%,57%,50%,36%,47%,41%,50%,53%,59%,61%,53%,44%,64.5%,52.4%,48.2%,61.2%,41.3%,35.1%,43.6%,52%,61.8%,44.4%,50%,35.7%,64.7%
3,Passes,474_479,437_441,581_364,435_412,514_378,339_724,387_600,401_516,485_379,299_557,596_377,450_457,490_391,473_421,410_596,544_403,452_453,301_543,440_481,413_584,457_452,545_472,579_403,511_335,545_464,518_616,631_292,457_409,528_583,583_367,489_694,307_565,482_632,475_433,621_369,462_568,472_477,340_597,554_410
4,Tackles,16_16,26_24,12_11,16_11,13_15,24_16,19_16,17_13,17_17,17_18,14_23,19_13,10_8,5_18,27_19,18_17,10_27,14_19,25_20,15_15,16_9,22_22,14_18,18_15,8_14,10_16,15_17,19_16,12_16,9_14,15_17,15_13,11_16,20_18,7_12,13_21,18_18,25_29,6_1
5,Corners,5_5,3_12,8_2,3_8,8_4,2_4,6_8,3_9,8_1,3_7,3_3,3_10,2_10,8_4,4_4,4_7,5_1,4_6,8_3,3_8,4_3,4_10,5_3,5_6,9_2,5_3,19_2,6_7,3_8,7_1,2_6,2_5,6_1,10_3,4_3,1_6,8_6,5_8,10_2
6,1st Half Corners,2_3,2_7,3_1,0_6,4_2,1_2,2_2,2_6,3_1,2_3,1_1,2_8,0_3,3_0,3_2,3_2,4_1,2_2,5_1,3_7,1_2,2_5,3_0,1_5,6_1,0_2,7_2,1_3,0_6,4_1,1_5,1_4,4_0,6_1,0_3,0_2,3_2,0_4,6_1
7,2nd Half Corners,3_2,1_5,5_1,3_2,4_2,1_2,4_6,1_3,5_0,1_4,2_2,1_2,2_7,5_4,1_2,1_5,1_0,2_4,3_2,0_1,3_1,2_5,2_3,4_1,3_1,5_1,12_0,5_4,3_2,3_0,1_1,1_1,2_1,4_2,4_0,1_4,5_4,5_4,4_1
8,Shots - Total,13_14,11_19,22_11,7_8,8_9,10_12,18_17,11_25,24_9,9_17,8_15,17_19,15_9,21_8,8_10,16_6,11_15,12_15,10_10,9_16,17_14,14_19,6_13,16_9,10_9,10_12,27_5,16_14,8_28,15_4,8_14,7_22,16_19,23_9,12_11,18_17,11_20,6_14,18_10
9,Shots - On target,5_5,7_2,8_4,3_4,3_2,7_4,7_8,3_8,8_6,3_4,2_6,3_7,7_5,6_5,3_2,6_1,4_7,3_5,3_5,3_6,7_5,6_4,2_4,8_5,8_5,5_6,7_4,5_5,2_10,7_0,3_4,3_9,11_7,10_3,3_4,7_1,4_3,5_3,8_2
