,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Manchester United - Home,Everton - Away,Tottenham Hotspur - Away,Brighton & Hove Albion - Home,West Bromwich Albion - Away,Burnley - Home,Sheffield United - Home,Fulham - Away,West Ham United - Home,Liverpool - Home,Aston Villa - Away,Manchester City - Away,Newcastle United - Away,Leeds United - Home,Southampton - Away,Leicester City - Home,Arsenal - Home,Crystal Palace - Away,Chelsea - Away,West Bromwich Albion - Home,Everton - Home,Brighton & Hove Albion - Away,Manchester United - Away,Tottenham Hotspur - Home,Burnley - Away,Chelsea - Home,Aston Villa - Home,Liverpool - Away,Arsenal - Away,Southampton - Home,Leicester City - Away,Crystal Palace - Home,Newcastle United - Home,Leeds United - Away,Fulham - Home,West Ham United - Away,Manchester City - Home,Sheffield United - Away
1,,AVG,1-2,1-0,2-0,2-1,1-1,0-4,1-0,0-1,2-3,0-1,0-0,4-1,1-1,1-0,1-2,0-0,2-1,1-0,0-0,2-3,1-2,3-3,1-0,1-1,2-1,2-1,0-1,4-0,1-2,1-1,1-0,2-0,1-1,0-1,1-0,4-0,1-3,0-2
2,Possession,51%,57%,59%,39%,61%,57%,58%,47%,51%,66%,54%,51%,27%,53%,42%,48%,44%,45%,43%,21%,68%%,52%,51%,42%,54%,64%,45%,50%,40%,44%,45%,51%,45%,63%,33%,47%,64%,34%,45%
3,Passes,461_482,571_440,528_377,360_584,569_373,467_339,474_325,479_512,452_439,628_322,508_467,424_410,309_798,423_388,308_440,448_476,429_567,576_488,560_518,242_898,549_270,558_500,461_548,439_611,542_466,463_260,418_494,348_331,395_626,405_494,416_516,505_492,446_551,702_400,269_553,478_524,626_367,356_692,391_460
4,Tackles,15_16,19_14,12_20,20_11,14_15,21_20,16_15,15_19,19_18,20_10,18_14,12_23,16_14,15_18,17_18,8_23,19_19,7_8,8_3,5_15,12_20,14_11,13_21,16_15,21_14,11_14,17_14,15_8,19_12,12_13,11_20,17_20,19_10,11_23,14_14,9_14,17_24,25_22,14_16
5,Corners,5_5,6_2,12_7,3_10,10_5,6_5,8_5,3_3,4_3,4_2,3_2,3_5,2_10,5_3,7_9,6_4,8_2,9_6,6_1,1_12,11_0,6_5,7_5,2_2,9_2,7_1,5_6,5_8,6_4,4_8,7_4,3_6,7_6,2_3,3_8,6_2,3_1,4_6,5_12
6,1st Half Corners,2_1,1_0,2_1,1_5,0_0,0_0,0_1,3_1,1_0,3_0,1_0,0_0,0_1,1_0,1_1,1_0,1_0,0_0,0_1,0_1,5_0,1_0,0_0,1_1,2_1,2_0,3_4,5_5,3_2,3_3,2_3,1_1,5_4,1_2,1_5,4_0,2_0,1_4,2_4
7,2nd Half Corners,2_2,0_0,0_2,2_5,0_0,1_0,0_0,0_2,0_1,0_0,1_1,1_0,1_3,0_0,3_1,1_0,1_0,3_1,5_0,0_2,6_0,2_1,0_0,1_1,7_1,5_1,2_2,0_3,3_2,1_5,5_1,2_5,2_2,1_1,2_3,2_2,1_1,3_2,3_8
8,Shots - Total,12_12,14_9,9_14,15_24,16_6,20_10,12_14,10_8,7_14,20_9,10_12,10_9,6_22,14_19,15_18,11_9,13_13,11_9,6_11,4_14,23_12,12_5,11_13,9_11,11_6,15_10,12_13,16_13,9_11,11_13,20_7,8_10,15_11,16_5,7_13,14_10,11_15,10_14,11_9
9,Shots - On target,4_4,4_4,3_5,3_13,6_3,10_4,2_7,5_2,3_3,5_6,5_4,2_1,1_10,4_7,5_8,4_5,1_3,7_3,4_2,0_5,6_5,3_3,4_4,5_3,6_3,3_4,4_3,7_2,3_6,5_2,9_2,2_3,5_2,3_2,3_2,5_2,2_7,1_9,4_2
10,Shots - Off target,6_5,10_5,6_8,7_9,10_3,9_7,9_7,3_2,4_12,15_3,2_5,6_5,5_12,11_13,10_10,7_4,6_5,4_3,1_6,4_8,10_5,6_1,4_3,2_5,2_2,5_5,6_6,4_6,5_4,2_7,5_3,5_4,8_3,8_0,1_7,3_5,4_7,5_3,5_5
11,Shots - Blocked,4_3,4_0,4_6,5_2,7_1,4_3,7_1,2_4,0_4,2_0,3_3,2_3,3_11,3_7,5_6,3_2,6_5,0_5,1_3,0_4,9_2,3_1,3_6,2_3,3_1,7_1,2_4,5_5,1_2,4_4,6_2,1_3,2_6,5_3,3_4,6_3,5_1,4_2,2_2
12,Shots - Outside Box,5_4,4_3,4_5,3_9,7_0,7_4,8_6,1_3,2_5,5_1,2_3,5_3,1_4,7_8,10_3,4_3,6_7,4_3,2_6,2_5,8_4,5_0,4_3,2_5,4_2,6_4,6_6,6_5,3_4,2_3,5_2,4_4,6_5,12_3,3_0,7_4,7_2,4_6,4_1
